province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Mississippi,US,2022-09-03,34.22772299,-90.60415045,POINT(-90.60415045 34.22772299),7343,131,,,28027,Coahoma,"Coahoma, Mississippi, US"
Mississippi,US,2022-09-03,31.86977774,-90.44565118,POINT(-90.44565118 31.86977774),8454,121,,,28029,Copiah,"Copiah, Mississippi, US"
Mississippi,US,2022-09-03,31.63225413,-89.55389939,POINT(-89.55389939 31.63225413),7993,117,,,28031,Covington,"Covington, Mississippi, US"
Mississippi,US,2022-09-03,34.87625235,-89.99091418,POINT(-89.99091418 34.87625235),56614,564,,,28033,DeSoto,"DeSoto, Mississippi, US"
Mississippi,US,2022-09-03,31.18961454,-89.25832496,POINT(-89.25832496 31.18961454),25518,317,,,28035,Forrest,"Forrest, Mississippi, US"
Mississippi,US,2022-09-03,31.47786634,-90.89672989,POINT(-90.89672989 31.47786634),2177,39,,,28037,Franklin,"Franklin, Mississippi, US"
Mississippi,US,2022-09-03,30.86259065,-88.64436789,POINT(-88.64436789 30.86259065),8226,89,,,28039,George,"George, Mississippi, US"
Mississippi,US,2022-09-03,31.21444233,-88.63922281,POINT(-88.63922281 31.21444233),3633,60,,,28041,Greene,"Greene, Mississippi, US"
Mississippi,US,2022-09-03,33.77036166,-89.80245083,POINT(-89.80245083 33.77036166),6067,134,,,28043,Grenada,"Grenada, Mississippi, US"
Mississippi,US,2022-09-03,30.41830223,-89.48851033,POINT(-89.48851033 30.41830223),14154,156,,,28045,Hancock,"Hancock, Mississippi, US"
Mississippi,US,2022-09-03,30.51359752,-89.12467576,POINT(-89.12467576 30.51359752),61795,687,,,28047,Harrison,"Harrison, Mississippi, US"
Mississippi,US,2022-09-03,32.2656285,-90.44435448,POINT(-90.44435448 32.2656285),62183,817,,,28049,Hinds,"Hinds, Mississippi, US"
Mississippi,US,2022-09-03,33.12345854,-90.08923538,POINT(-90.08923538 33.12345854),4923,104,,,28051,Holmes,"Holmes, Mississippi, US"
Mississippi,US,2022-09-03,33.12825718,-90.52252707,POINT(-90.52252707 33.12825718),2224,47,,,28053,Humphreys,"Humphreys, Mississippi, US"
Mississippi,US,2022-09-03,32.72531359,-90.97392828,POINT(-90.97392828 32.72531359),287,9,,,28055,Issaquena,"Issaquena, Mississippi, US"
Mississippi,US,2022-09-03,34.27993475,-88.3606733,POINT(-88.3606733 34.27993475),8489,145,,,28057,Itawamba,"Itawamba, Mississippi, US"
Mississippi,US,2022-09-03,30.54020656,-88.64184064,POINT(-88.64184064 30.54020656),42969,483,,,28059,Jackson,"Jackson, Mississippi, US"
Mississippi,US,2022-09-03,32.01922104,-89.11786866,POINT(-89.11786866 32.01922104),5703,76,,,28061,Jasper,"Jasper, Mississippi, US"
Mississippi,US,2022-09-03,31.73397872,-91.03764977,POINT(-91.03764977 31.73397872),1715,37,,,28063,Jefferson,"Jefferson, Mississippi, US"
Mississippi,US,2022-09-03,31.56884708,-89.8267099,POINT(-89.8267099 31.56884708),3323,56,,,28065,Jefferson Davis,"Jefferson Davis, Mississippi, US"
Mississippi,US,2022-09-03,31.62257767,-89.168969,POINT(-89.168969 31.62257767),24339,304,,,28067,Jones,"Jones, Mississippi, US"
Mississippi,US,2022-09-03,32.75462946,-88.64105766,POINT(-88.64105766 32.75462946),2433,51,,,28069,Kemper,"Kemper, Mississippi, US"
Mississippi,US,2022-09-03,34.35687874,-89.48490961,POINT(-89.48490961 34.35687874),17432,182,,,28071,Lafayette,"Lafayette, Mississippi, US"
Mississippi,US,2022-09-03,31.20572971,-89.5077704,POINT(-89.5077704 31.20572971),20377,165,,,28073,Lamar,"Lamar, Mississippi, US"
Mississippi,US,2022-09-03,32.40419769,-88.66229662,POINT(-88.66229662 32.40419769),20669,374,,,28075,Lauderdale,"Lauderdale, Mississippi, US"
Mississippi,US,2022-09-03,31.55147224,-90.10841127,POINT(-90.10841127 31.55147224),4156,57,,,28077,Lawrence,"Lawrence, Mississippi, US"
Mississippi,US,2022-09-03,32.7536828,-89.52402044,POINT(-89.52402044 32.7536828),7186,123,,,28079,Leake,"Leake, Mississippi, US"
Mississippi,US,2022-09-03,34.2918775,-88.68149954,POINT(-88.68149954 34.2918775),31000,312,,,28081,Lee,"Lee, Mississippi, US"
Mississippi,US,2022-09-03,33.55545125,-90.29900733,POINT(-90.29900733 33.55545125),8244,176,,,28083,Leflore,"Leflore, Mississippi, US"
Mississippi,US,2022-09-03,31.53288662,-90.45391915,POINT(-90.45391915 31.53288662),9667,161,,,28085,Lincoln,"Lincoln, Mississippi, US"
Mississippi,US,2022-09-03,33.47386518,-88.4419153,POINT(-88.4419153 33.47386518),19742,246,,,28087,Lowndes,"Lowndes, Mississippi, US"
Mississippi,US,2022-09-03,32.63389156,-90.03513564,POINT(-90.03513564 32.63389156),28787,341,,,28089,Madison,"Madison, Mississippi, US"
Mississippi,US,2022-09-03,31.23132643,-89.8209217,POINT(-89.8209217 31.23132643),8049,140,,,28091,Marion,"Marion, Mississippi, US"
Mississippi,US,2022-09-03,34.76216286,-89.50299462,POINT(-89.50299462 34.76216286),11016,178,,,28093,Marshall,"Marshall, Mississippi, US"
Mississippi,US,2022-09-03,33.89236763,-88.4808438,POINT(-88.4808438 33.89236763),12386,224,,,28095,Monroe,"Monroe, Mississippi, US"
Mississippi,US,2022-09-03,33.49419589,-89.61729103,POINT(-89.61729103 33.49419589),3388,80,,,28097,Montgomery,"Montgomery, Mississippi, US"
Mississippi,US,2022-09-03,32.75339664,-89.11726492,POINT(-89.11726492 32.75339664),11891,243,,,28099,Neshoba,"Neshoba, Mississippi, US"
Mississippi,US,2022-09-03,32.40021118,-89.11843336,POINT(-89.11843336 32.40021118),6660,99,,,28101,Newton,"Newton, Mississippi, US"
Mississippi,US,2022-09-03,33.11009499,-88.56949061,POINT(-88.56949061 33.11009499),3196,48,,,28103,Noxubee,"Noxubee, Mississippi, US"
Mississippi,US,2022-09-03,33.42491685,-88.87905132,POINT(-88.87905132 33.42491685),12606,168,,,28105,Oktibbeha,"Oktibbeha, Mississippi, US"
Mississippi,US,2022-09-03,34.36398677,-89.95064249,POINT(-89.95064249 34.36398677),11687,173,,,28107,Panola,"Panola, Mississippi, US"
Mississippi,US,2022-09-03,30.77090935,-89.58677275,POINT(-89.58677275 30.77090935),16987,280,,,28109,Pearl River,"Pearl River, Mississippi, US"
Mississippi,US,2022-09-03,31.17161885,-88.99281835,POINT(-88.99281835 31.17161885),3492,64,,,28111,Perry,"Perry, Mississippi, US"
Mississippi,US,2022-09-03,31.17507789,-90.40392572,POINT(-90.40392572 31.17507789),11597,190,,,28113,Pike,"Pike, Mississippi, US"
Mississippi,US,2022-09-03,34.226046,-89.03636807,POINT(-89.03636807 34.226046),11708,154,,,28115,Pontotoc,"Pontotoc, Mississippi, US"
Mississippi,US,2022-09-03,34.61810501,-88.51986294,POINT(-88.51986294 34.61810501),9309,106,,,28117,Prentiss,"Prentiss, Mississippi, US"
Mississippi,US,2022-09-03,34.25157572,-90.28908,POINT(-90.28908 34.25157572),1740,32,,,28119,Quitman,"Quitman, Mississippi, US"
Mississippi,US,2022-09-03,32.26469147,-89.94537876,POINT(-89.94537876 32.26469147),42919,507,,,28121,Rankin,"Rankin, Mississippi, US"
Mississippi,US,2022-09-03,32.4067041,-89.53789439,POINT(-89.53789439 32.4067041),7345,121,,,28123,Scott,"Scott, Mississippi, US"
Mississippi,US,2022-09-03,32.88149103,-90.8159538,POINT(-90.8159538 32.88149103),1084,27,,,28125,Sharkey,"Sharkey, Mississippi, US"
Mississippi,US,2022-09-03,31.91282117,-89.91716179,POINT(-89.91716179 31.91282117),8056,155,,,28127,Simpson,"Simpson, Mississippi, US"
Mississippi,US,2022-09-03,32.01744532,-89.50644846,POINT(-89.50644846 32.01744532),4640,69,,,28129,Smith,"Smith, Mississippi, US"
Mississippi,US,2022-09-03,30.79187949,-89.11547539,POINT(-89.11547539 30.79187949),6305,76,,,28131,Stone,"Stone, Mississippi, US"
Mississippi,US,2022-09-03,33.60192578,-90.58882684,POINT(-90.58882684 33.60192578),6320,126,,,28133,Sunflower,"Sunflower, Mississippi, US"
Mississippi,US,2022-09-03,33.95339918,-90.1729398,POINT(-90.1729398 33.95339918),3567,63,,,28135,Tallahatchie,"Tallahatchie, Mississippi, US"
Mississippi,US,2022-09-03,34.65133709,-89.94485778,POINT(-89.94485778 34.65133709),8221,148,,,28137,Tate,"Tate, Mississippi, US"
Mississippi,US,2022-09-03,34.76872156,-88.90988194,POINT(-88.90988194 34.76872156),8278,109,,,28139,Tippah,"Tippah, Mississippi, US"
Mississippi,US,2022-09-03,34.74023475,-88.23917219,POINT(-88.23917219 34.74023475),7012,122,,,28141,Tishomingo,"Tishomingo, Mississippi, US"
Mississippi,US,2022-09-03,34.64967704,-90.37481167,POINT(-90.37481167 34.64967704),2831,48,,,28143,Tunica,"Tunica, Mississippi, US"
Mississippi,US,2022-09-03,,,,0,0,,,90028,Unassigned,"Unassigned, Mississippi, US"
Mississippi,US,2022-09-03,34.49162015,-89.00776006,POINT(-89.00776006 34.49162015),10689,126,,,28145,Union,"Union, Mississippi, US"
Mississippi,US,2022-09-03,31.14971548,-90.10446654,POINT(-90.10446654 31.14971548),4227,82,,,28147,Walthall,"Walthall, Mississippi, US"
Mississippi,US,2022-09-03,32.35810271,-90.83352619,POINT(-90.83352619 32.35810271),11856,213,,,28149,Warren,"Warren, Mississippi, US"
Mississippi,US,2022-09-03,33.28392041,-90.94196237,POINT(-90.94196237 33.28392041),11480,207,,,28151,Washington,"Washington, Mississippi, US"
Mississippi,US,2022-09-03,31.64135687,-88.69573913,POINT(-88.69573913 31.64135687),6594,88,,,28153,Wayne,"Wayne, Mississippi, US"
Mississippi,US,2022-09-03,33.61300486,-89.28392912,POINT(-89.28392912 33.61300486),3740,73,,,28155,Webster,"Webster, Mississippi, US"
Mississippi,US,2022-09-03,31.16078225,-91.31018819,POINT(-91.31018819 31.16078225),1895,46,,,28157,Wilkinson,"Wilkinson, Mississippi, US"
Mississippi,US,2022-09-03,33.08747908,-89.03391385,POINT(-89.03391385 33.08747908),6033,104,,,28159,Winston,"Winston, Mississippi, US"
Mississippi,US,2022-09-03,34.02824175,-89.7076205,POINT(-89.7076205 34.02824175),4564,61,,,28161,Yalobusha,"Yalobusha, Mississippi, US"
Mississippi,US,2022-09-03,32.77890365,-90.39656148,POINT(-90.39656148 32.77890365),9081,111,,,28163,Yazoo,"Yazoo, Mississippi, US"
Missouri,US,2022-09-03,40.19058551,-92.60078167,POINT(-92.60078167 40.19058551),6159,68,,,29001,Adair,"Adair, Missouri, US"
Missouri,US,2022-09-03,39.98492163,-94.80163024,POINT(-94.80163024 39.98492163),5250,60,,,29003,Andrew,"Andrew, Missouri, US"
Missouri,US,2022-09-03,40.43238737,-95.42970639,POINT(-95.42970639 40.43238737),1598,23,,,29005,Atchison,"Atchison, Missouri, US"
Missouri,US,2022-09-03,39.215877,-91.84242683,POINT(-91.84242683 39.215877),6270,116,,,29007,Audrain,"Audrain, Missouri, US"
Missouri,US,2022-09-03,36.70978521,-93.82919888,POINT(-93.82919888 36.70978521),7343,147,,,29009,Barry,"Barry, Missouri, US"
Missouri,US,2022-09-03,37.50207671,-94.34757022,POINT(-94.34757022 37.50207671),3136,54,,,29011,Barton,"Barton, Missouri, US"
Missouri,US,2022-09-03,38.25271289,-94.34113157,POINT(-94.34113157 38.25271289),4038,99,,,29013,Bates,"Bates, Missouri, US"
Missouri,US,2022-09-03,38.29503305,-93.28756116,POINT(-93.28756116 38.29503305),4934,110,,,29015,Benton,"Benton, Missouri, US"
Missouri,US,2022-09-03,37.32449052,-90.02725304,POINT(-90.02725304 37.32449052),2907,44,,,29017,Bollinger,"Bollinger, Missouri, US"
Missouri,US,2022-09-03,38.99186229,-92.30723575,POINT(-92.30723575 38.99186229),49163,271,,,29019,Boone,"Boone, Missouri, US"
Missouri,US,2022-09-03,39.65816401,-94.80138942,POINT(-94.80138942 39.65816401),27392,327,,,29021,Buchanan,"Buchanan, Missouri, US"
Missouri,US,2022-09-03,36.71462476,-90.40421163,POINT(-90.40421163 36.71462476),11301,178,,,29023,Butler,"Butler, Missouri, US"
Missouri,US,2022-09-03,39.65620858,-93.98308093,POINT(-93.98308093 39.65620858),1914,40,,,29025,Caldwell,"Caldwell, Missouri, US"
Missouri,US,2022-09-03,38.83674754,-91.92186505,POINT(-91.92186505 38.83674754),13315,138,,,29027,Callaway,"Callaway, Missouri, US"
Missouri,US,2022-09-03,38.02199522,-92.76083747,POINT(-92.76083747 38.02199522),10201,189,,,29029,Camden,"Camden, Missouri, US"
Missouri,US,2022-09-03,37.38489388,-89.6843587,POINT(-89.6843587 37.38489388),21414,253,,,29031,Cape Girardeau,"Cape Girardeau, Missouri, US"
Missouri,US,2022-09-03,39.42762566,-93.50626255,POINT(-93.50626255 39.42762566),2429,46,,,29033,Carroll,"Carroll, Missouri, US"
Missouri,US,2022-09-03,36.94160441,-90.96051322,POINT(-90.96051322 36.94160441),1626,24,,,29035,Carter,"Carter, Missouri, US"
Missouri,US,2022-09-03,38.64789422,-94.353399,POINT(-94.353399 38.64789422),27998,327,,,29037,Cass,"Cass, Missouri, US"
Missouri,US,2022-09-03,37.72391475,-93.85445441,POINT(-93.85445441 37.72391475),3384,60,,,29039,Cedar,"Cedar, Missouri, US"
Missouri,US,2022-09-03,39.51499357,-92.9629191,POINT(-92.9629191 39.51499357),1877,38,,,29041,Chariton,"Chariton, Missouri, US"
Missouri,US,2022-09-03,36.9711783,-93.18537118,POINT(-93.18537118 36.9711783),23156,274,,,29043,Christian,"Christian, Missouri, US"
Missouri,US,2022-09-03,40.41040752,-91.73661677,POINT(-91.73661677 40.41040752),1775,41,,,29045,Clark,"Clark, Missouri, US"
Missouri,US,2022-09-03,39.31132056,-94.41850862,POINT(-94.41850862 39.31132056),30618,379,,,29047,Clay,"Clay, Missouri, US"
Missouri,US,2022-09-03,39.6013098,-94.40465394,POINT(-94.40465394 39.6013098),5339,124,,,29049,Clinton,"Clinton, Missouri, US"
Missouri,US,2022-09-03,38.50455671,-92.27860244,POINT(-92.27860244 38.50455671),22121,293,,,29051,Cole,"Cole, Missouri, US"
Missouri,US,2022-09-03,38.844478,-92.80896081,POINT(-92.80896081 38.844478),4441,80,,,29053,Cooper,"Cooper, Missouri, US"
Missouri,US,2022-09-03,37.97663738,-91.30528104,POINT(-91.30528104 37.97663738),5972,108,,,29055,Crawford,"Crawford, Missouri, US"
Missouri,US,2022-09-03,37.431814,-93.8503345,POINT(-93.8503345 37.431814),1633,43,,,29057,Dade,"Dade, Missouri, US"
Missouri,US,2022-09-03,37.6811355,-93.02127031,POINT(-93.02127031 37.6811355),4271,77,,,29059,Dallas,"Dallas, Missouri, US"
Missouri,US,2022-09-03,39.96145298,-93.98519678,POINT(-93.98519678 39.96145298),1901,30,,,29061,Daviess,"Daviess, Missouri, US"
Missouri,US,2022-09-03,39.89201062,-94.40476508,POINT(-94.40476508 39.89201062),2412,47,,,29063,DeKalb,"DeKalb, Missouri, US"
Missouri,US,2022-09-03,37.60663134,-91.50790473,POINT(-91.50790473 37.60663134),3652,89,,,29065,Dent,"Dent, Missouri, US"
Missouri,US,2022-09-03,36.9325593,-92.49905109,POINT(-92.49905109 36.9325593),2856,83,,,29067,Douglas,"Douglas, Missouri, US"
