province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Montserrat,United Kingdom,2020-03-18,16.7425,-62.1874,POINT(-62.1874 16.7425),1,0,0,,,,
Channel Islands,United Kingdom,2020-03-13,49.372284,-2.364351,POINT(-2.364351 49.372284),2,0,0,,,,
Montserrat,United Kingdom,2020-03-20,16.7425,-62.1874,POINT(-62.1874 16.7425),1,0,0,,,,
Montserrat,United Kingdom,2020-03-21,16.7425,-62.1874,POINT(-62.1874 16.7425),1,0,0,,,,
Montserrat,United Kingdom,2020-03-19,16.7425,-62.1874,POINT(-62.1874 16.7425),1,0,0,,,,
Unknown,United Kingdom,2022-02-02,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-09-27,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-10-10,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-11-29,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-12-23,,,,0,326,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-09-19,,,,0,315,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-07-19,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-08-12,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-11-25,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-09-04,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-08-10,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-07-16,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-03-27,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-05-27,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-05-16,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-11-02,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-11-17,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-09-20,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-10-20,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-06-22,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-10-20,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2023-02-02,,,,0,334,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-10-07,,,,0,318,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-02-18,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-08-10,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-06-27,,,,113832,0,0,113832,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-11-15,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-03-12,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2023-01-23,,,,0,334,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-01-08,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-04-06,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-05-12,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-11-29,,,,0,324,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-07-10,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-07-16,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-11-14,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-02-17,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-03-27,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-10-20,,,,0,318,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-11-09,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-09-08,,,,0,314,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-05-28,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-10-03,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-11-16,,,,0,323,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-05-16,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-02-01,,,,0,0,0,-106564,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-04-08,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-10-04,,,,0,318,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-07-15,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-01-24,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2023-01-07,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-11-13,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-06-25,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-08-23,,,,0,310,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-12-21,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-06-08,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-03-23,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-11-01,,,,0,320,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-09-18,,,,0,315,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-02-16,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-03-28,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-10-21,,,,0,318,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-11-02,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-07-04,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-03-24,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-09-03,,,,0,312,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-08-28,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-10-29,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-01-20,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-06-22,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-12-07,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-07-30,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-07-04,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-09-17,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-08-08,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-01-22,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-05-02,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-08-12,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-12-09,,,,0,326,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-01-10,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-04-04,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-05-30,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-11-16,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-07-03,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-05-10,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-11-12,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-03-14,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-11-04,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-07-30,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-05-29,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-06-24,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-10-09,,,,0,0,,,,,"Unknown, United Kingdom"
