price,created_on,operation,property_type
3500.0,2015-01-27,rent,apartment
1000.0,2015-01-21,rent,apartment
4000.0,2015-01-28,rent,apartment
4000.0,2015-01-14,rent,store
3300.0,2015-01-15,rent,apartment
2500.0,2015-01-14,rent,store
6000.0,2015-01-21,rent,store
700.0,2015-01-22,rent,apartment
5000.0,2015-01-08,rent,store
700.0,2015-01-22,rent,apartment
3700.0,2015-01-27,rent,store
5000.0,2015-01-10,rent,store
6000.0,2015-01-05,rent,store
6000.0,2015-01-09,rent,store
7000.0,2015-01-09,rent,house
3800.0,2015-01-22,rent,house
1500.0,2015-01-20,rent,apartment
2500.0,2015-01-26,rent,apartment
3000.0,2015-01-03,rent,store
2500.0,2015-01-17,rent,apartment
3000.0,2015-01-09,rent,apartment
3300.0,2015-01-12,rent,apartment
12000.0,2015-01-09,rent,store
1800.0,2015-01-24,rent,apartment
7000.0,2015-01-06,rent,store
4300.0,2015-01-28,rent,apartment
3300.0,2015-01-21,rent,apartment
7800.0,2015-01-12,rent,house
3500.0,2015-01-21,rent,house
12000.0,2015-01-07,rent,store
2700.0,2015-01-06,rent,apartment
3250.0,2015-01-02,rent,apartment
1500.0,2015-01-22,rent,apartment
2200.0,2015-01-29,rent,apartment
3000.0,2015-01-01,rent,apartment
6800.0,2015-01-05,rent,apartment
2300.0,2015-01-21,rent,apartment
3100.0,2015-01-21,rent,apartment
7500.0,2015-01-28,rent,house
2900.0,2015-01-27,rent,apartment
5000.0,2015-01-14,rent,store
5000.0,2015-01-21,rent,store
4500.0,2015-01-22,rent,apartment
1200.0,2015-01-11,rent,house
6000.0,2015-01-03,rent,apartment
23000.0,2015-01-23,rent,apartment
8000.0,2015-01-21,rent,apartment
46000.0,2015-01-22,rent,apartment
7000.0,2015-01-31,rent,apartment
17000.0,2015-01-15,rent,store
17000.0,2015-01-11,rent,store
8000.0,2015-01-11,rent,store
11500.0,2015-01-11,rent,store
12000.0,2015-01-11,rent,apartment
12000.0,2015-01-11,rent,apartment
5000.0,2015-01-20,rent,apartment
12000.0,2015-01-11,rent,store
8000.0,2015-01-11,rent,apartment
4000.0,2015-01-21,rent,apartment
6500.0,2015-01-23,rent,apartment
13000.0,2015-01-21,rent,store
12000.0,2015-01-11,rent,store
13000.0,2015-01-14,rent,apartment
3500.0,2015-01-28,rent,apartment
700.0,2015-01-24,rent,apartment
1400.0,2015-01-08,rent,apartment
4500.0,2015-01-08,rent,apartment
1600.0,2015-01-08,rent,apartment
1500.0,2015-01-08,rent,apartment
1400.0,2015-01-08,rent,PH
2500.0,2015-01-08,rent,house
1900.0,2015-01-08,rent,apartment
2200.0,2015-01-08,rent,house
3000.0,2015-01-08,rent,PH
1600.0,2015-01-08,rent,apartment
9000.0,2015-01-16,rent,store
2000.0,2015-01-12,rent,store
6750.0,2015-01-22,rent,apartment
8000.0,2015-01-13,rent,apartment
5500.0,2015-01-06,rent,apartment
8500.0,2015-01-15,rent,apartment
6500.0,2015-01-22,rent,apartment
60000.0,2015-01-11,rent,apartment
3300.0,2015-01-13,rent,apartment
10500.0,2015-01-21,rent,apartment
45000.0,2015-01-01,rent,apartment
30000.0,2015-01-01,rent,house
4000.0,2015-01-17,rent,apartment
4100.0,2015-01-05,rent,apartment
4200.0,2015-01-05,rent,apartment
19500.0,2015-01-01,rent,store
3300.0,2015-01-11,rent,apartment
2200.0,2015-01-02,rent,store
5300.0,2015-01-12,rent,apartment
28000.0,2015-01-22,rent,store
17500.0,2015-01-29,rent,apartment
2800.0,2015-01-21,rent,apartment
60000.0,2015-01-22,rent,store
2500.0,2015-01-05,rent,apartment
2200.0,2015-01-02,rent,store
45000.0,2015-01-01,rent,store
60000.0,2015-01-21,rent,store
